fulltext|chapter|year|month|location,0.0,0.0
june a few days ago we went round the harbour and just outside it in the small boats picking up drift wood for seats tables etc for the camp we got a boat load and arriving home at half past one had lunch and started to make benches we sleep in a hut now above the main camp about sixty or seventy feet higher up to get to this we have to go up a very steep and winding pathway i have seen nobody except our own chase after an eagle party not counting indians for nearly a month yesterday herbert and i went out shooting in the open boat along the shore landing every now and then as we were only rowing about ten yards from land and stalking anything worth shooting after rowing about twenty minutes we spotted an eagle on a tree about a hundred yards in shore so i landed herbert with the rifle to stalk him while i kept the gun in case he came my way after about five minutes of anxious suspense i heard first one then another rifle shot and then a tremendous crashing and saw herbert coming towards me as hard as he could carrying a great dead eagle a splendid bird with a white head and tail huge claws and a beak that would make you pale to look at it turned out that his first shot was successful in killing the bird his second wounded the mate which managed to escape we then continued our journey and saw what we chase after an eagle 113 thought was the wounded eagle settle a little further on i landed with my rifle and made my way towards him but he flew away and settled somewhere ahead so we followed him up and i landed again and saw him perched about seventy feet up on a bare tree about sixty yards from the shore i saw that i could not get up the cliff to the foot of the tree so i fired at him from the beach and saw him drop as i thought i scrambled up the cliff and after ten minutes search found a feather covered with blood but that was all at that moment i heard herbert shout and found that the eagle had contrived to drop into the sea mortally wounded he rowed after it and managed to secure it after some trouble as it was most ferocious and lay on its back in the water with just its head and claws appearing he attacked it with an oar which it promptly laid hold of with all its might and was thus hauled into the boat when i got in it made a savage onslaught on 8 chase after an eagle my legs but the corduroys were a good armour against its claws it turned out to be the one herbert had wounded my shot had gone through its leg and into its stomach thus nearly finishing it off we had some difficulty in killing it as it was still very lively this island positively swarms with eagles ravens and crows at the place where the stream runs into the harbour we found cartloads of dead herrings most likely in consequence of a very high tide lately when they had been driven up the stream as far as the tide went and when that dropped had not dared to go out being left dry or killed by the freshwater the harbour here is always full of herrings sprats etc and there is a great commotion when dog fish come in hundreds leaping out of the water at a time and tremendous scrambles ensuing at the surface every night before we go to bed we have a systematic slaughter of mosquitoes a savoury dish ij5 but they are not nearly so bad here as in ontario i have to use the greatest precision as regards my bed for if i alter my position an inch i am nearly transfixed by a projecting edge of rock if i can avoid this i am very comfortable as i get into a groove lined with moss herbert and i have already made a kind of clothes horse and an easy chair to hold two out of the drift wood|viii the island we go exploring chase after an eagle a savoury dish jubilee day|1887|june|British Columbia,0.034106412005457026,0.02455661664392906
june last monday we went for an exploration up to the north end of the island passing by a spot where a forest fire had raged it was positively awful walking all the fallen trees being out of sight and covered with a thick undergrowth we reached the sea on the other side and stopping to rest for ten minutes started home again about a mile and a half from home we saw a coon scuttling up a tree so we went for it and when we reached the foot of the tree w went up after it 8 2 n6 a savoury dish when near the top he began cutting it off half way through he turned giddy and came down i then went up meaning to come to close quarters with the coon when about two feet off him he made a clear spring of thirty feet to the ground were he was speedily put an end to on tuesday we skinned the coon and got it ready for cooking for as we had heard that the yankees eat them we determined to do so too at supper we had roast coon which was all very well if we had not known what it was but as we did and had spent some hours skinning it it was all we could do to do our duty to it on thursday an indian came round in a canoe selling a deer he had shot w bought half of it for fifty cents as we are on an island where there is only one settlement and that consists of three houses we have to go to comox in vancouver island for all supplies the sailing is not very good as the wind is apt to get up quite suddenly jubilee day 117 the last time we crossed it was very bad indeed and we came very near to being capsized we were very nearly flat on the water and two thirds of the sail and mast were underneath there are some most beautiful hummingbirds here a sort of bronze all over they have backs which shine like gold in the sunlight bright crimson throats and long curved beaks yesterday herbert saw a panther nothing very dangerous but not a nice customer as it was jubilee day we hoisted the union jack on a tree just by our camp in the evening we drank the queen s health in punch jsa|viii the island we go exploring chase after an eagle a savoury dish jubilee day|1887|june|British Columbia,0.02823529411764706,0.01647058823529412
june where we are now is a little nook in a very pretty bay it is a lovely place but when i say that there is scarcely a yard of level ground you will understand that it has its drawbacks we have as i dare say you know a tent for w and myself another tent on the top of a little hill close by for the boys and a hut which serves for kitchen and parlour sailor john sleeps in the sloop the way we live now 119 the ground our tent is pitched on is very uneven i have to run up a hill to get to the washhand basin and i invariably slide down backwards once if not twice there were rather deep holes where we made our bed but w filled them up with pieces of rock then we put pine boughs then moss after that a canvas blanket cover a buffalo robe and finally blankets it was really very comfortable but lately w has made a really grand bedstead as he thought it better to be further from the ground besides it gives the spiders and beetles more trouble to get at us the hut is a great convenience we have our stove in it with shelves for our stores it has it is true no door and no windows and three fourths of the floor are gone but there is enough left for us w and the boys have now made a table and four good benches and we get on admirably well they as you know are busy exploring the island and i sometimes go with them r 120 the way we live now but exploring is not an easy thing in this country no words indeed will adequately describe the places that have to be got over sometimes there are large masses of rock covering the ground and there are smaller pieces everywhere then there are very thorny rose bushes with small very red sweet smelling flowers by the way and blackberries a very pretty shrub called sal lal ferns fir trees and any quantity of other bushes and trees then the ground is covered at intervals with fallen trees every few yards you have to get over one some you can step over but most require a good climb as for trying to go round them that is out of the question for many of them are over seventy yards long many of the large trees that are thus lying on the ground are quite rotten and have a number of young fir trees some of them quite tall growing all along their trunks sometimes they are useful for helping us to cross swamps i am getting the way we live now 121 quite used to walking along them over hollows that are unpleasantly deep swamps there are in abundance and lovely lakes these latter full of trout the boys have caught a few of these but i look forward to o their getting more when they become more skilful deer are in plenty but it is now the close time for them however we have had a taste of them for two siwashes indians came over the other day in a canoe the siwashes seem to be allowed to kill them at any time and w bought the hindquarters of one for fifty cents and some tobacco it was most delicious meat sometimes i know you will like to know how we fare we have cod from the bay john cooks it cut up in pieces with onions and tomatoes it is eatable in this way but not a very good fish after all i am head cook though john and indeed all help john has some greek ways of dressing things which make them palatable the bread at first 122 the way we live now was a great trial i brought some bottles of yeast from victoria and made a dreadful mess of the first batch perhaps i used too little yeast anyhow the loaves would have done for ballast eventually they were sunk in the harbour and i assure you that they went down like lead at last i made some yeast for myself since then and especially since i have been able to have some of that excellent winnipeg flour i have managed very well we have hot rolls for breakfast imagine that sometimes john makes them sometimes w or the boys then there is a supply of pilot bread or biscuits to fall back on one day last week they killed a coon and when they had skinned it thought that they would like it cooked for dinner i remonstrated faintly but was overruled indeed i could not refuse when they offered to prepare it and prepare it they did and very nicely too so that it looked just like a hare at first they left the eyes in but it the way we live now 123 looked so dreadful that i never could have basted it especially as it had to sit with its head out of the oven door even after the eyes were taken out it had a quite dreadful grin still when it was cooked it really looked very nice and w and the boys seemed to eat it with great appetite as for me i got off with a very small piece but then see the inconsistency of these creatures suddenly when we were eating our pudding w said that coon was a trifle green and one of the boys said i am glad i ate it and yet somehow i wish i hadn t and the other chimed in so they all joined in vilifying the poor beast i was not altogether surprised when i remembered that they had had their noses over it a good part of the afternoon but coon is not an every day luxury for food generally we have fish tinned meats and soups cheese butter syrup cake pie or pudding and of course very admirable bread the last thing at night we m 124 the way we live now generally have some chocolate our great want is green vegetables though the canned are tolerably good milk of course we have none except the condensed as for clothes the place is simple destruction to them cooking and walking through the bush would finish anything w and the boys dress if you can call it dressing anyhow but w always puts on a collar for service on sunday i kept to collars as long as i had any clean now i wear embroidery i have made vain endeavours to starch some collars myself but somehow they won t come stiff but i mean to try again we have some minor plagues the mosquitoes are not much to complain of but the midges in the evening are a great pest not that they make any difference to me but w and the boys complain of them loudly small flies i am glad to say do not trouble us either in the house or out the way we live now 125 of doors other insects are innumerable the ants are simply enormous and there are bright beetles like those that are sometimes 0 worn for ornament there are crowds of mice and i am always patching bags that they have eaten through yet they are so tame that one does not like to be hard upon them there are numbers of butterflies and some very pretty birds some of which have a very nice song but not so nice i think as our larks and blackbirds at home there is one w says that reminds us of home with its note something between a postman s knock and a policeman s rattle the crows of which there seem to be whole flocks are not musical when we first came they used to gather round our tents in the early morning and waken us with their quarrelling the boys thought of throwing boots at them but were afraid they would carry them off besides the crows there are eagles in abundance the boys shot two fine specimens the way we live now the other day when i tell you that there are panthers in the island i shall have about completed my list one of the boys had a little adventure with one of them some short time ago he went down into a swamp to cut a stick for a fishing rod and lo in the bush which he had picked out there was a panther lying he had nothing but his axe with him the panther happily moved off and so when he had got his stick did the boy so no harm came of it but he had a scare so my dear m this is the way we live now|ix the way we live now more exploring a fine view a sudden squall we decide to leave the island the letter which begins this was written by the lady of the party encamped upon texada island|1887|june|British Columbia,0.04667981591058514,0.027613412228796843
july we are getting on a great deal better now yesterday we came across some really good land we dug into it and found there were ten feet of very good peat this with the quantities of dead fish which are thrown up would make exceedingly good manure without much difficulty we could get tons of it to the more exploring i2j harbour at low tide and ship it away things look much brighter than they did a few days ago you will be glad to hear that we are both remarkably well the large amount of exercise which we take is making us grow like one o clock especially the sculling and rowing you will guess what it is like when i tell you that the waistcoats which were made much too large for me will not now meet across my chest by some two inches also it is almost out of the question to button the coats the pilot coats are now just a nice fit and are without exception the most comfortable things for wear that we ever came across you just put one on and lie down anywhere with something for a pillow and you feel as if you were in a feather bed for softness and warmth we are both very brown and i think that you would consider us very dangerous looking ruffians if you saw us when we go exploring in the bush long boots corduroys a 128 more exploring check shirt and a felt tennis hat with the brim well pulled down form our costume sometimes we carry a rifle or a hatchet the long knives too add something of the ruffian to our appearance i have not looked in a looking glass for over a month now and what is more have not the slightest wish to do so to day we went out to follow the course of a certain stream and fix the position of some swamps we found about fifteen acres of swamp and bottom land and a biggish lake on the other side of this was a howling wilderness of rock and forest we found another stream running into the lake and followed it after an hour s hard walking we found ourselves within five minutes walk of the place from which we had started the stream had wound about in the most extraordinary fashion once we saw a splendid buck within easy range it stood still and looked at us but alas we had not the rifle more exploring 129 we also found that the beavers had been mending and raising an old dam within the last twenty four hours there were lots of footmarks so there must be some about still the siwashes however have killed most of them in a day or two we go further down the island here we hope to find larger stretches of good land|ix the way we live now more exploring a fine view a sudden squall we decide to leave the island the letter which begins this was written by the lady of the party encamped upon texada island|1887|july|British Columbia,0.05938697318007663,0.0210727969348659
july as you have been some time without a letter i will give you a description of what we have been doing during the last few days on wednesday the three of us rowed about four miles down the island to find a new camping ground we went to a bay where there is a river running out we hope to find some good land somewhere along the course of this we found an old hut in very fair condition the only drawback was a large hole burnt in the middle of it by the siwashes but this we can board over we 9 130 more exploring came across one or two deserted logging camps and shot a brace of grouse on thursday we rowed to a siwash village where there is a roman catholic mission most of the inhabitants were out fishing or shooting the padre was also away so we started home again we rowed considerably over twenty miles that day and the sun was awfully hot in first crossing the channel we sighted a huge whale it gradually got nearer and nearer to us and then disappeared after a bit it suddenly came up about thirty yards to one side of us making straight in our direction w and i were rowing and you bet we didn t stop to watch we made the boat go pretty quick and the whale passed just by our stern coming home we saw no less than seven whales in different parts of the channel now while i am writing i can hear them blowing on saturday we went to camp by the river which we found on thursday we rigged up a tarpaulin for more exploring j3i k and w and dick and i found a nice little hollow behind a tree under some bushes first we spread a waterproof sheet then folded our coats into pillows and with our guns and knives handy lay down and pulled the blankets and another waterproof sheet over us we were very comfortable indeed as the sal lal bushes on the top of which we were made a sort of spring mattress it was necessary to have our arms ready as we were some five and twenty yards from the camp fire and the whole place was swarming with gray wolves on sunday we took a walk up the river after going some way we came to a splendid fall the river ran through a narrow gorge about thirty feet broad the whole gorge was on a tremendous incline and it was headed by the fall where the water came sheer down some twenty feet we could feel the ground shake quite a quarter of a mile away and a large cloud of mist and spray hung over the falls we then 9 2 j 132 a fine view climbed on to a hill which was near and from there saw the grandest piece of scenery i have come upon since we passed the selkirks the river came from a large lake several miles long and one or two broad all round it were steep hills covered with timber and in the background rose the cascade mountains capped with snow in the evening there was the mosfmagnificent sunset that i have ever seen it was really beyond description i was looking over the smooth sea dotted all round with little islands and lit up with a bright red light behind the sea rose up the mountain range along the coast of vancouver island while behind them again were the snow mountains their white peaks shining with a brilliant flame colour the clouds just above the mountains were edged with the same hue and the whole sky was reddened with the light this lasted about half an hour and then the whole sky changed to a wonderful steel gray which was almost as beautiful though quite a fine view 133 different you could not realize a quarter of its beauty from the best description i only hope you will be able to see something similar soon when you come out here there is lots of fun in camping out here and the scenery is very grand indeed almost too grand and rugged i think for my part i should like to see a little bit of the scenery you get green fields and farmhouses better than all the mountains in british columbia before long however i hope we shall be doing something towards making part of the scenery a little less wild perhaps then the rest will become pleasanter by contrast|ix the way we live now more exploring a fine view a sudden squall we decide to leave the island the letter which begins this was written by the lady of the party encamped upon texada island|1887|july|British Columbia,0.05721393034825871,0.021144278606965175
july the day we posted our last letters to you we went to comox in the sloop the wind fell almost directly after we had started so we had to pull the sloop by means of the two sweeps a man at each we pulled here twenty two miles and can feel it now in our left hands which got rather cramped coming 134 a sudden squall back next day the wind again fell in somewhat of the same way we got out the sweeps but after we had been pulling for two hours a regular storm got up suddenly and the sea was running very high indeed in less than ten minutes from the time when it had been like glass we were only just able to beat round the point ahead of us if we had failed to do this i don t know what would have happened once round that we made good time down to the harbour we have been doing a little prospecting lately for minerals but have found nothing except a few small veins not worth troubling about the place is all jumbled up by earthquakes and upheavals and things of that kind so that it is almost impossible to find really large ledges or veins we shall not stay in this island much longer there is not sufficient good land to make it worth our while to start a farm here after all i think we shall go back to our old plan and make our way to calgary of we decide to leave the island 3s course it is rather a disappointment not finding anything here but still it is plain there is nothing and so we must make the best of things part iii alberta|ix the way we live now more exploring a fine view a sudden squall we decide to leave the island the letter which begins this was written by the lady of the party encamped upon texada island|1887|july|British Columbia,0.03625377643504532,0.02416918429003021
august you will be somewhat surprised to see the name at the head of this letter we have been here now about three days and have been looking out for work this i m glad to say we have got it is on a horse ranche five miles from here the pay is 15 each a month and board the arrangement is only for a month but we shall stay on longer if we can agree with the man about wages 15 is very low but as we saw no immediate chance of better we determined to take it the country round here looks very nice as far as we have seen but we cannot of course 140 we move north west judge yet perhaps you would like to hear something of our journey here we took seven days to go from comox to victoria in the sloop the distance is about 140 miles of these we had to pull at least 80 as we had either no winds or head winds the only fair wind we had was in victoria harbour a little too late for use we left victoria on a sunday at 2 a m reaching vancouver at 9 we had a bath and something to eat and then started to come up the fraser river valley the mosquitoes nearly crowded us out of the cars i never saw anything like them all the inhabitants wore nets over their heads we crossed over 1 200 bridges ranging from 5 feet high and a yard or two across to 300 feet high and 300 or 400 yards long in some places the mountains were very smoky though not nearly so bad as represented in reports certainly though there have been very large fires about when at comox we were offered 20 on a ranche 141 a month each and board on separate farms i was for taking it but dick didn t like it and so we came here i hope you like the eagle s wings we are both in excellent health you would be amused to see us riding about on our mexican saddles which are by the way awfully clumsy and uncomfortable they weigh 30 lb and sometimes more the ponies are the scrubbiest looking animals i have ever seen yet they carry you wonderfully well over the roughest ground the saddles have what is called a horse in front on which you sling your lasso and anything else you wish to carry with you the stirrups are large wooden affairs with leather in front to keep bushes from catching your feet our plans must depend on seeing land which we like the money i think we can save as the wages we can get will be from 20 5 to 40 10 a month and board hi 142 on a ranche and we shall have very few expenses it does not seem much to start on but we can get 320 acres of land for 20 5 in fees and for living on it 320 more for 1 per acre to be paid in three years if we still want the land we ought to start soon so as to get land near the town it costs very little to live if you have cows and poultry and one or two small things of your own to help you on and if necessary one could work out part of the time with a team and earn 60 12 a month by the way a first class team and waggon would only cost jo other prices are equally low so we could start a good many small things to be gradually increased living here is of a somewhat simple nature in fact pork damper and tea damper pork and tea and tea damper pork are the varieties in which we indulge occasionally however bread is substituted for damper we get up now at 5 30 dick milks and l about taking up land h3 i look after two thorough bred horses at 6 30 we breakfast and then draw hay off the prairies twice a week one of us rides round the fences to see that they are in good order we hope soon to get on to a farm where cattle require to be herded as that will give us good opportunities for inspecting the land round the country seems to be a very fine one it consists chiefly of great rolling hills with streams winding amongst them the mosquitoes however are simply awful calgary is a very go ahead town and is growing at a tremendous pace|x we move north west onaranche about taking up land wild duck shooting calgary|1887|august|Alberta,0.03303684879288437,0.015247776365946633
september the son of our host here has told us of two good spots about forty miles from calgary that is about a day and a half s journey by waggon they are valleys bordering on streams with plenty of timber at hand there is plenty of natural hay and a considerable amount of game during the winter there is rather 144 about taking up land more snow than in calgary which is a decided advantage this place i speak now of the best of the two is within easy reach of the projected railway from calgary to edmonton which is to be commenced next year to get a place nearer calgary besides being hard to do would not be any greater advantage over a place forty miles off as under that distance no good amount of timber can be found if possible we want to secure some land in the district i have spoken of and to do this we must be quick as considerable tracts of land are being taken up every year we have just seen in a paper that a large party of ontario farmers had started west from winnipeg to spy out the land if we cannot get this place we shall have to go more than forty five miles from calgary which means another day s journey and this would make a great difference now if we could borrow 200 we should next spring buy a team and waggon and go about taking up land 145 for a week up country to fix on a location if we found one that satisfied us we should come back send in our claim to the land office work out for six months and in the succeeding fall enter into possession finally i think by that time we shall have had sufficient experience to start for ourselves as we shall have been out here for two and a half years by next fall we shall have about 100 of our own to add to the 200 which we should borrow this would give us a great advan o o tage in starting as it will enable us to get things that will bring in a return the next year we expect to be able to pay back the whole interest and capital in three years i think i have given all our plans and thoughts on this subject tell f that all round calgary and the north west generally there is splendid pike fishing where we are now we often change our salt pork for jack steaks and very good they are we catch them with a spoon bait from 10 146 about taking up land a canoe and they give very fine sport the general size is from 4 to 12 lb i forgot to say that though we should buy our provisions for the first six or nine months yet we should doubtless be able to supply ourselves with fresh meat by means of our guns and rods t had better not come to us before we have been settled six months as during that time we shall be roughing it a bit and it would not do for him to do too much at first tell him to try and if possible learn how to thatch both houses and haystacks to day dick and i have just returned from calgary dick rode down looking a regular cow boy on a small white cayeuse or indian pony with a huge mexican saddle and stirrups with huge leather flaps to them he wore his old gray coat and a large gray felt sombrero on his head altogether he looked an awful ruffian i drove down with mr g the owner of about taking up land 147 this ranche as i am unable to walk owing to an accidental stab which i gave myself with my large knife i was trying a dodge for opening it with one hand and it half opened without my knowing it and so i ran it about two inches into my right thigh i was quite lame yesterday but can get around all right to day the tourniquet braces came in very useful for bandaging as we had not our regular medicine chest with us we went into town chiefly to make use of a note of introduction to a mr m he was very kind indeed and has taken all our luggage into his strong room till we get fixed for ourselves we told him exactly how we stood and he promised to write to a friend of his and get us places for the winter with a company which is working up at reddeer river he also said that we ought to start for ourselves at once if possible and said we could do so very well indeed with 200 to 300 he very much approved of our ideas as to how and 10 2 y 148 about taking up land with what stock we should start he was also very much taken with the notion of bee keeping very little is done here in that way and so we could command almost any price we wished for honey fowls also he thought well of and said they alone could feed us eggs fetch 30 cents a dozen he also said that when we had land fenced in we ought to keep sheep he told us there would be difficulties and losses to contend with but that if we made up our minds to succeed we were bound to do it further he gave us a note to the land commissioner or agent asking him to help us in the choice of land and said that when we fixed on any section of country we might come to him and he would show us the reports of the government surveyors on that particular part then we ought to go on a few days trip to see the land and if we liked it take it up if you object to the idea of borrowing we can wait till we have saved enough to start but the about taking up land 149 result would be to place us further from calgary and we might not get such good land by the way you will find i think somewhere in my diary which i sent off to day an estimate we made when we first thought of the plan the prices named for horses and cattle are high but i think it best to get first rate stock at a high price and not second rate beasts the first always command a certain value and with the second you can never be sure of getting more than half what you paid for them our first object mr m said is to get land with good hay on it good timber near or on it and with good water this kind of land is getting harder to obtain every year so you see we ought to hurry we left british columbia firstly because the climate is so hideously wet in winter and spring and secondly because what land is not already taken up costs from 5 to 30 per acre to render it fit for cultivation this 150 wild duck shooting climate as far as we can judge is much superior a few days ago we went out duck shooting in the slough there is about two feet of water standing in it and any amount of mud so we put on old clothes and had a fairly good time the duck were very wild so we only managed to get five brace during the afternoon our guns have turned out very good ones and are the admiration of all that see them we could if we liked get 2 more than we gave for them for people are always offering to buy them but we shall stick to them as good guns are not always easy to get out here|x we move north west onaranche about taking up land wild duck shooting calgary|1887|september|Alberta,0.03994082840236687,0.011834319526627219
september you will see by my heading that we have left our last place we went first to a ranche on s creek which is twenty five miles south of calgary and were there for a week haying this was rather a tough job to begin with we got a lift for twelve miles after leaving calgary but then we had to leave our valise behind and carry our bedding on our backs and walk over eleven miles of rough prairie we got to the haying camp late in the evening to find that the high wind had blown the tents down and had rendered it almost impossible to cook so we had supper 152 haying off cold salt pork and sour bread which you could pull out in strings a yard long there was a severe frost every other night and we had not enough bedding and so could hardly get to sleep by the way if you get t any blankets to bring out mind and get double ones that is two large ones sewn together single ones are worse than useless a pair of double ones is the only thing to have dick and i if we get permanent employ ment for the winter are going to invest in a buffalo robe as a supplement to our bedding a fellow who is leaving here has two to sell smi 1 r i u h ne only wants for each and the usual price is 6 to y after we left the haying camp we came to p creek which is half way to calgary and are now living in a log hut with an english fellow who has been out here five years he offered to let us make his shack our headquarters till we should get fixed for the winter it will save us an awful lot as hotel charges here are l a buck jumper j53 gigantic a day or two ago we went out shooting and got three brace of snipe and a prairie chicken or two they make grand eating after living on salt pork and beans one job we are trying to get is that of cutting rails we should take a tent stove and some provisions and go up into the bush for the winter and spend the whole time cutting and piling rails which could be drawn away by teams every day we ought to be able to make from i to 2 a day each besides our food we may go up to reddeer fifty miles north of calgary to work for a ranching company there we don t yet know what sort of work this last would be but that does not matter much as long as it carries us over the winter this morning i tried to get on the only available horse to go to a neighbouring ranche it was a broncho which three months ago was running wild in british columbia but my right leg being still a little stiff from the cut i got a fortnight ago 154 a buck jumper i was not quick enough in getting properly seated before he started to jump and kick around bucking as it is called here he threw me a complete somersault i landed with my feet in the air my shoulders reaching the ground first it took my breath away completely for a time and for two or three minutes when i did breathe i roared like a broken winded horse only rather worse however i got h and dick to hold him while i got seated when i got to my destination two and a half miles away he was so much cooled off that i was able to bring our valise and 4 lb of butter back though i had to walk him all the way|xi haying a buck jumper we buy a team breaking them in|1887|september|Alberta,0.012232415902140673,0.024464831804281346
october i am glad you like the skins they are hardly worth taking any trouble about still if we go north we may be able to send you a few better ones yesterday i saw the rancher from sheep creek about cutting some rails and he said he could not say if we we buy a team could have the job yet which means he does not want us also i saw the manager of some lumber mills here he said that he had promised all his places but that if any men failed to turn up we might have the places it would be 25 s a month each and board to last till the place froze up one to th ree monttisl ns morning m who is to write to a getting us places on the ranche at reddeer calgary fall show is on now if there is a chance it would be a very good notion for teddy to get into the way of thatching the great difficulty here is to make a good roof we are seriously thinking of buying a team of horses waggon and harness at once then getting a few provisions and starting out for a week or ten days looking at land our reason is this we can hear of no work just yet that is for a fortnight or three weeks and we want to be doing something mean m we buy a team while if we could not get work for ourselves and team and i think we could during the winter a fellow here has promised to keep the team all winter for the use of it another reason is that horses are so much cheaper now than in the spring and if we can get two mares we can get a return for our money next spring if we care to sell the colts if we do get work for them it means i a day extra besides their keep again if we start for ourselves next year it will save us a lot of time if we don t we shall get bigger wages and be more independent as we shall have private means of locomotion probably long before you get this we shall have cabled for some money it would take something between 40 and 50 to do it we have lots of shooting now and have great feeds of wild duck grouse prairie chicken and snipe the last are awfully good when i was in calgary last i was we buy a team ls7 unable to get back for two nights the second i spent at a house three miles from here very nice people indeed english too dick shot a skunk just outside the shack but its skin is not worth taking as the hair is not tight in yesterday morning a lot of prairie chicken came and woke us up by running about on the roof h and i slipped out at once but they flew before we could see them however we each got one as they went there are seven or eight hanging in the cellar now we go to calgary on monday to see about the team p s we have just cabled for 40 i believe we have something like this amount still of our own there is a team going which we cannot let slip we are now going into calgary to buy it waggon harness and all after that we shall start for a week s exploring|xi haying a buck jumper we buy a team breaking them in|1887|october|Alberta,0.03161397670549085,0.013311148086522463
